"clave_institucion","clave_producto_hipotecario","producto_hipotecario","clave"
"040014","2462","Hipoteca Santander Premier Adquisición con Apoyo INFONAVIT Pagos Crecientes Seguro Mensual","0400142462"
"040014","2463","Hipoteca Santander Premier Adquisición con Apoyo INFONAVIT Pagos Congelados Seguro Mensual","0400142463"
"040014","2464","Porción ""B"" Hipoteca Santander Premier. COFINAVIT.","0400142464"
"040014","2465","Hipoteca Crediferente Santander. Pagos Programados","0400142465"
"040014","2466","Hipoteca Crediferente Santander. Pagos Congelados","0400142466"
"040014","2467","Hipoteca Crediferente Santander Adquisición Pagos Congelados Seguro Mensual","0400142467"
"040014","2468","Hipoteca Crediferente Santander Adquisición Pagos Crecientes Seguro Mensual","0400142468"
"040014","2500","Hipoteca 10 x 1000 Construcción en terreno propio Pagos Congelados Seguro Mensual","0400142500"
"040014","2501","Hipoteca Santander Premier Construcción en terreno propio Pagos Congelados Seguro Mensual","0400142501"
"040014","2502","Hipoteca Inteligente Santander Construcción en terreno propio Pagos Variables Seguro Mensual","0400142502"
"040014","2506","Hipoteca 10 x 1000 Adquisición de Terreno + Construcción Pagos Congelados Seguro Mensual","0400142506"
"040014","2507","Hipoteca Santander Premier Adquisición de Terreno + Construcción Pagos Congelados Seguro Mensual","0400142507"
"040014","2508","Hipoteca Inteligente Santander Adquisición de terreno + Construcción Pagos Variables Seguro Mensual","0400142508"
"040014","2512","Hipoteca 10 x 1000 Liquidez Pagos Congelados Seguro Mensual","0400142512"
"040014","2513","Hipoteca 10 x 1000 Adquisición con Apoyo INFONAVIT Pagos Congelados Seguro Financiado","0400142513"
"040014","2514","Hipoteca 10 x 1000 Adquisición con Apoyo INFONAVIT Pagos Congelados Seguro Mensual","0400142514"
"040014","2515","Hipoteca 10 x 1000 COFINAVIT Pagos Congelados Seguro Financiado","0400142515"
"040014","2516","Hipoteca 10 x 1000 COFINAVIT Pagos Congelados Seguro Mensual","0400142516"
"040014","2517","Hipoteca 10x1000 Adquisición con Apoyo INFONAVIT Pagos Crecientes Seguro Financiado","0400142517"
"040014","2518","Hipoteca 10x1000 Adquisición con Apoyo INFONAVIT Pagos Crecientes Seguro Mensual","0400142518"
"040014","2519","Hipoteca 10x1000 COFINAVIT Pagos Crecientes Seguro Financiado","0400142519"
"040014","2520","Hipoteca 10x1000 COFINAVIT Pagos Crecientes Seguro Mensual","0400142520"
"040014","260056","Hipoteca Adquisición FOVI Migración Serfin","040014260056"
"040014","9726","Hipoteca NG Seguro Mensual Adquisición con Apoyo Infonavit","0400149726"
"040014","9727","Hipoteca NG Seguro Mensual Cofinavit","0400149727"
"040014","9728","Hipoteca NG Seguro Mensual Fovissste","0400149728"
"040014","9729","Hipoteca NG Seguro Mensual Sustitución","0400149729"
"040014","9730","Hipoteca NG Seguro Mensual Terminación de Obra y Remodelación","0400149730"
"040014","9731","Hipoteca NG Seguro Mensual Liquidez","0400149731"
"040014","9732","Hipoteca NG Adquisición con Apoyo Infonavit","0400149732"
"040014","9733","Hipoteca NG Cofinavit","0400149733"
"040014","9734","Hipoteca NG Fovissste","0400149734"
"040014","9735","Hipoteca NG Sustitución","0400149735"
"040014","9738","Hipoteca NG Terminación de Obra y Remodelación","0400149738"
"040014","9739","Hipoteca NG Liquidez","0400149739"
"040014","9740","Porción ""B"" Hipoteca NG","0400149740"
"040014","9741","Hipoteca Inteligente Santander Adquisición Pagos Variables Seguro Financiado","0400149741"
"040014","9742","Hipoteca Inteligente Santander Adquisición con Apoyo INFONAVIT Pagos Variables Seguro Financiado","0400149742"
"040014","9743","Hipoteca Inteligente Santander COFINAVIT Pagos Variables Seguro Financiado","0400149743"
"040014","9744","Hipoteca Inteligente. FOVISSSTE","0400149744"
"040014","9745","Hipoteca Inteligente Santander Sustitución Pagos Variables Seguro Financiado","0400149745"
"040014","9746","Hipoteca Inteligente Santander Remodelación y ampliación Pagos Variables Seguro Financiado","0400149746"
"040014","9747","Hipoteca Inteligente Santander Liquidez Pagos Variables Seguro Financiado","0400149747"
"040014","9748","Hipoteca Inteligente Santander Adquisición Pagos Variables Seguro Mensual","0400149748"
